Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,-1,1.0,200.0,4290.0
Left,2,-1,1.0,220.0,4440.0
Left,2,-1,1.0,240.0,4590.0
Left,2,-1,1.0,260.0,4720.0
Left,2,-1,1.0,280.0,4850.0
Left,2,-1,1.0,300.0,4980.0
Left,2,-1,1.0,320.0,5100.0
Left,2,-1,1.0,340.0,5220.0
Left,2,-1,1.0,348.0,7110.0
Left,2,-1,1.5,0.0,2740.0
Left,2,-1,1.5,20.0,2900.0
Left,2,-1,1.5,40.0,3050.0
Left,2,-1,1.5,60.0,3210.0
Left,2,-1,1.5,80.0,3380.0
Left,2,-1,1.5,100.0,3540.0
Left,2,-1,1.5,120.0,3710.0
Left,2,-1,1.5,140.0,3870.0
Left,2,-1,1.5,160.0,4030.0
Left,2,-1,1.5,180.0,4180.0
Left,2,-1,1.5,200.0,4330.0
Left,2,-1,1.5,220.0,4470.0
Left,2,-1,1.5,240.0,4600.0
Left,2,-1,1.5,260.0,4720.0
Left,2,-1,1.5,280.0,4840.0
Left,2,-1,1.5,300.0,4960.0
Left,2,-1,1.5,320.0,5070.0
Left,2,-1,1.5,340.0,5180.0
Left,2,-1,1.5,348.0,7110.0
Left,2,-0.5,-1.5,0.0,2080.0
Left,2,-0.5,-1.5,20.0,2240.0
Left,2,-0.5,-1.5,40.0,2400.0
Left,2,-0.5,-1.5,60.0,2570.0
Left,2,-0.5,-1.5,80.0,2750.0
Left,2,-0.5,-1.5,100.0,2930.0
Left,2,-0.5,-1.5,120.0,3120.0
Left,2,-0.5,-1.5,140.0,3320.0
Left,2,-0.5,-1.5,160.0,3520.0
Left,2,-0.5,-1.5,180.0,3730.0
Left,2,-0.5,-1.5,200.0,3940.0
Left,2,-0.5,-1.5,220.0,4160.0
Left,2,-0.5,-1.5,240.0,4390.0
Left,2,-0.5,-1.5,260.0,4620.0
Left,2,-0.5,-1.5,280.0,4860.0
Left,2,-0.5,-1.5,300.0,5090.0
Left,2,-0.5,-1.5,320.0,5320.0
Left,2,-0.5,-1.5,340.0,5530.0
Left,2,-0.5,-1.5,348.0,7110.0
Left,2,-0.5,-1.0,0.0,2180.0
Left,2,-0.5,-1.0,20.0,2340.0
Left,2,-0.5,-1.0,40.0,2510.0
Left,2,-0.5,-1.0,60.0,2670.0
Left,2,-0.5,-1.0,80.0,2850.0
Left,2,-0.5,-1.0,100.0,3030.0
Left,2,-0.5,-1.0,120.0,3210.0
Left,2,-0.5,-1.0,140.0,3410.0
Left,2,-0.5,-1.0,160.0,3600.0
Left,2,-0.5,-1.0,180.0,3810.0
Left,2,-0.5,-1.0,200.0,4020.0
Left,2,-0.5,-1.0,220.0,4230.0
Left,2,-0.5,-1.0,240.0,4440.0
Left,2,-0.5,-1.0,260.0,4660.0
Left,2,-0.5,-1.0,280.0,4880.0
Left,2,-0.5,-1.0,300.0,5080.0
Left,2,-0.5,-1.0,320.0,5280.0
Left,2,-0.5,-1.0,340.0,5460.0
Left,2,-0.5,-1.0,348.0,7110.0
Left,2,-0.5,-0.5,0.0,2290.0
Left,2,-0.5,-0.5,20.0,2450.0
Left,2,-0.5,-0.5,40.0,2610.0
Left,2,-0.5,-0.5,60.0,2780.0
